trial_id,dataset,value,dim_factor,metric,learn_rate,reg_factor,reg_bias,omega,xT,xC,with_bias,with_outcome,only_treated,tau_mode,CPrec_10,CPrec_100,CDCG_100,CDCG
0,CP,1.046141428867132,121,upper_bound_log,0.004760529760969583,0.0054723389692272134,0.001763713343791322,0.1577141614555427,0.039901811583730185,0.017087240960254425,True,True,False,ips,0.04447812906019922,0.02534430489389346,0.599033500578077,1.046141428867132
1,CP,1.0891810832171072,167,upper_bound_hinge,0.003924232224503049,0.0001795273422097984,0.0004354740533273659,0.10277098165635543,0.04629679699716942,0.0307568093152443,True,True,False,ips,0.04673018622780425,0.031576440017323515,0.718519758500404,1.0891810832171072
2,CP,0.7160087795534053,137,upper_bound_sigmoid,0.00020923023257554606,0.000978603304026905,0.00010336448992535943,0.031330808948598944,0.031744943405718984,0.015543531697296616,False,True,True,cips,0.005933304460805543,0.0040233867475097445,0.09427342322715926,0.7160087795534053
3,CP,0.7802641257116645,247,upper_bound_hinge,0.00042933967977400655,0.0004955861757921197,0.006200637732229117,0.03228623452599242,0.04970799821656324,0.009616497174587815,False,True,True,cips,0.009614551754006063,0.008999566912083153,0.19076199951069533,0.7802641257116645
4,CP,0.7359377606641135,102,upper_bound_hinge,0.0002744019148327204,0.0003522744938535741,0.000107513059111506,0.11569478326577418,0.022850101765752504,0.03564036440002795,True,True,True,ips,0.005283672585534863,0.005617150281507146,0.11586260447708131,0.7359377606641135
5,CP,0.9809735278965453,114,upper_bound_hinge,0.0009121247985578261,0.006255621679283645,0.0003428327926973421,0.023896057745812473,0.0055555120665752205,0.017786957110286643,False,True,True,cips,0.034820268514508444,0.01957557384148982,0.4868482191152128,0.9809735278965453
6,CP,0.7230417811758328,98,upper_bound_hinge,0.00035392177170689195,0.009703965872719647,0.0003138104640534374,0.16234805765757102,0.0016573607575231808,0.01259260929797145,False,True,False,cips,0.005067128627111304,0.004365526201818969,0.09254911246122527,0.7230417811758328
7,CP,1.0820773378277375,273,upper_bound_log,0.003034198039579208,0.00016060348491259358,0.0008883048689088228,0.013058086472082528,0.011353133687596436,0.04605816469741083,False,True,False,ips,0.04724989172802079,0.029320051970550022,0.6778697739203416,1.0820773378277375
8,CP,0.7267504786760872,171,upper_bound_log,0.0001578019250296837,0.00044500895870524355,0.001451393165764148,0.16538910953112862,0.014727758327752395,0.024354117026720787,True,True,False,cips,0.004244261585101775,0.004781290601992204,0.10132467377884231,0.7267504786760872
9,CP,0.7071497459265551,222,upper_bound_sigmoid,0.0003426360488640556,0.0004047471954625525,0.0030893378596817817,0.18537212197286151,0.023726091687715417,0.0461173550039687,False,True,False,ips,0.0030316154179298397,0.004564746643568644,0.0879647726584062,0.7071497459265551
10,CP,1.1478652232913995,184,upper_bound_hinge,0.008626593758574004,0.00010854602286658951,0.0004751133300160925,0.08179184393015645,0.04963706576029235,0.033648818394557044,True,True,False,ips,0.05478562148116067,0.03491987873538328,0.8205944151416494,1.1478652232913995
11,CP,1.1367055608483687,187,upper_bound_hinge,0.006642245776052868,0.00014029813203001704,0.00039721792455763217,0.08684636050366755,0.04971468294006035,0.03240777061976141,True,True,False,ips,0.055998267648332614,0.03519272412299697,0.8143495845844185,1.1367055608483687
12,CP,1.1736289057069476,208,upper_bound_hinge,0.009382748307408869,0.00010107543341638269,0.0006638087883624623,0.07835914200462421,0.03941155773530175,0.0010588008600263994,True,True,False,ips,0.06275443915114769,0.036920744911216975,0.8740744971615273,1.1736289057069476
13,CP,1.027455473401004,212,upper_bound_hinge,0.0020355728091277486,0.0001010900689042371,0.0005898089374206644,0.0653734003938836,0.03768116008242964,0.0015041878237315545,True,True,False,ips,0.03365093113902122,0.02834127327847553,0.6222648021415518,1.027455473401004
14,CP,1.004300402667383,70,upper_bound_hinge,0.0013809132048217113,0.0015358001723999337,0.00020084293111886535,0.05643185413164743,0.04075088318336918,0.03921706859965596,True,True,False,ips,0.0386314421827631,0.021814638371589434,0.5257643712257808,1.004300402667383
