trial_id,dataset,value,dimension,embedding_layer_units,estimator_layer_units,lambda_1,lr,kld,tau,f1
0,CO,-0.0085633181458919,292,"(128,)","(64, 32, 16, 8)",0.6006641490328327,0.0012691510835977,0.7377399006467626,-0.0085633181458919,0.2303049402849711
1,CO,0.0083514554711879,80,"(256, 128)","(64, 32, 16, 8)",0.020428862383909,0.0061109584852695,0.723784693555442,0.0083514554711879,0.2137062836652395
0,CO,0.688334693319463,78,"[256, 128]","[128, 64]",0.1172229898199868,0.0001416367589116,0.688334693319463,0.026308244019256,0.2285462035809211
1,CO,0.755895639255746,279,[128],"[128, 64, 32]",0.0104484454585005,0.001507966541105,0.755895639255746,0.0739822886644497,0.2485728873196117
2,CO,1.3635650664121357,88,"[512, 256, 128]",[64],6.740052639899428,0.0044492416345721,1.3635650664121357,-0.2257765134505111,0.3524760635906988
3,CO,0.5448880055991263,198,"[512, 256, 128]","[128, 64]",7.161394143357454,0.0078820671213159,0.5448880055991263,0.1899606789354005,0.355250920516251
4,CO,0.6921207327318272,242,"[512, 256, 128]","[64, 32, 16, 8]",4.064001452743891,0.0034523336778604,0.6921207327318272,0.0654621392393522,0.3158956577175077
5,CO,3.561266725101833,161,"[512, 256, 128]","[128, 64]",2.7528298191935368,0.0001424227802198,3.561266725101833,0.0214923846609598,0.3299865149333317
6,CO,1.8892250713717436,266,"[256, 128, 64]","[64, 32, 16, 8]",1.21091670143687,0.0004914806668813,1.8892250713717436,0.1388278037256907,0.367925677421705
7,CO,0.6746307219279586,185,"[512, 256, 128]","[64, 32]",0.1292303588736887,0.0004882672404492,0.6746307219279586,0.086155851477922,0.2866262178253761
8,CO,0.8143138084726307,195,"[512, 256, 128]","[128, 64]",0.4919278352644525,0.0011915044681228,0.8143138084726307,0.2063611536195618,0.3879628894139263
9,CO,0.7262260508023418,135,"[1024, 512, 256]","[128, 64, 32, 16]",0.5439698352368842,0.0002197637035875,0.7262260508023418,0.0794602175564434,0.3332727620658768
10,CO,0.9405745815093944,228,"[512, 256]","[64, 32, 16]",0.0108005279526972,0.0090017274098589,0.9405745815093944,0.1535977792462073,0.2726265162626285
11,CO,0.70557619224639,188,"[512, 256, 128]","[64, 32]",0.0999878170713669,0.0004463912158458,0.70557619224639,0.0390772213940392,0.2691774692613465
12,CO,0.7064820371574883,139,"[256, 128]","[64, 32]",0.0893992294935099,0.0003899514464607,0.7064820371574883,0.0264295465451539,0.2247949945178678
13,CO,0.7412806975319124,211,"[512, 256]","[64, 32]",0.0425645459979537,0.0008354721295995,0.7412806975319124,0.0467306632427813,0.2382984335631287
14,CO,3.157060992862716,158,[128],"[128, 64, 32]",1.281057571820007,0.002125636791266,3.157060992862716,0.0049548687213808,0.3582949132605059
15,CO,2.2659290668839907,299,"[1024, 512, 256]","[128, 64, 32, 16]",0.2059829163518611,0.0086510103757096,2.2659290668839907,-0.0067311795596785,0.334272776465063
16,CO,3.2580222137712296,116,"[256, 128, 64]","[64, 32, 16]",1.429522486676835,0.0008004674357764,3.2580222137712296,0.1366472322332437,0.4155589547306019
17,CO,0.7665406258181733,170,"[512, 256, 128]",[64],0.0301981746451391,0.0030005515493726,0.7665406258181733,0.126848911696559,0.2987258041533235
18,CO,0.6867921004270909,230,"[512, 256, 128]","[128, 64]",0.2808768218204338,0.0002657913161228,0.6867921004270909,0.0721552694369399,0.3090961177597789
19,CO,1.566851963531389,205,"[512, 256, 128]","[64, 32]",7.444817140428869,0.0059106690266166,1.566851963531389,-0.2541931631999981,0.2297671027379466
20,CO,0.7287966901814604,253,"[256, 128, 64]","[64, 32]",0.0420731766326088,0.0014680725030239,0.7287966901814604,0.1021419381547485,0.2852053611188305
21,CO,0.6875543560209163,226,"[512, 256, 128]","[128, 64]",0.2961599448868137,0.0002547568983486,0.6875543560209163,0.0855697035606745,0.3018943387499405
22,CO,0.6945357363256907,217,"[512, 256, 128]","[128, 64]",0.198148562697062,0.0002708423564878,0.6945357363256907,0.0621753624067967,0.2884943992711332
23,CO,0.8094616536738422,180,"[512, 256, 128]","[128, 64]",0.5267050332166984,0.0006659913620362,0.8094616536738422,0.1924714157041301,0.3823107377089664
24,CO,0.8455515697460083,235,"[512, 256, 128]","[128, 64]",0.6963739948603787,0.0001109029682033,0.8455515697460083,0.0235335133248106,0.3099317858600026
0,CO,1.7594910585844468,200,"[256, 128, 64]","[64, 32, 16, 8]",0.5011661735798122,0.008074760495240318,1.7594910585844468,-0.2537667424431196,0.33374184932044937
